word,pronunciation,sense
岗子,ɡǎnɡ•zi,①不高的山或高起的土坡：土～。②平面上凸起的长道：胸口上肿起一道～。
杠子,ɡànɡ•zi,①较粗的棍子。②杠：盘～。③杠：老师把写错了的字都打上～。
高拨子,ɡāobō•zi,徽剧主要腔调之一。京剧、婺剧等剧种也用高拨子。简称拨子。
高帽子,ɡāomào•zi,比喻恭维的话：戴～。也说高帽儿。
羔子,ɡāozi,小羊，也指某些动物的崽子：兔～。
膏子,ɡāo•zi,熬成浓汁服用或外敷的药物。
篙子,ɡāo•zi〈方〉,①篙。②晒衣服用的杆子。
稿子,ɡǎo•zi,①诗文、图画等的草稿：写～。②写成的诗文：这篇～是谁写的？③心里的计划；谱：心里还没个准～。
鸽子,ɡē•zi,鸟，翅膀大，善于飞行，品种很多，羽毛有白色、灰色、酱紫色等，以谷类植物的种子为食物，有的可以用来传递书信。常用作和平的象征。
歌子,ɡē•zi〈方〉,歌曲：嘴里哼着～。
阁子,ɡé•zi,①小的木板房子：板～。②〈方〉阁楼。
格子,ɡé•zi,隔成的方形空栏或框子：打～｜～布。
个子,ɡè•zi,①指人的身材，也指动物身体的大小：高～｜矮～｜这只猫～大。②指某些捆在一起的条状农作物：谷～｜麦～｜高粱～。
根子,ɡēn•zi〈口〉,①根。②根。
埂子,ɡěnɡ•zi,田地里稍稍高起的分界线，像狭窄的小路：地～。
弓子,ɡōnɡ•zi,形状或作用像弓的东西：胡琴～｜三轮车上的车～。
钩子,ɡōu•zi,①悬挂东西或探取东西的用具，形状弯曲：火～。②形状像钩子的东西：蝎子的～有毒。
狗腿子,ɡǒutuǐ•zi〈口〉,指给有势力的坏人奔走帮凶的人（骂人的话）。
姑子,ɡū•zi〈口〉,尼姑。
谷子,ɡǔ•zi,①一年生草本植物，茎直立，叶子条状披针形，有毛，穗状圆锥花序，子实圆形或椭圆形，脱壳后叫小米，是我国北方的粮食作物。也叫粟（sù）。②谷子的没有去壳的子实。也叫粟。③〈方〉稻的没有去壳的子实。
骨子,ɡǔ•zi,东西里面起支撑作用的架子：伞～｜扇～｜钢条扎成的～。
刮舌子,ɡuāshé•zi,刮除舌面污垢的用具。
褂子,ɡuà•zi,中式的单上衣。
拐子,1ɡuǎi•zi〈口〉,腿脚瘸的人。
